criticalCount,seriousCount,minorCount,pastFail,pastCritical,pastSerious,pastMinor,timeSinceLast,firstRecord,POLICE_DISTRICT,ageAtInspection,consumption_on_premises_incidental_activity,tobacco,package_goods,outdoor_patio,public_place_of_amusement,limited_business_license,childrens_services_facility_license,tavern,regulated_business_license,filling_station,caterers_liquor_license,mobile_food_license,precipIntensity,temperatureMax,windSpeed,humidity,heat_burglary,heat_garbage,heat_sanitation,criticalFound,Risk_Risk 1 (High),Risk_Risk 2 (Medium),Risk_Risk 3 (Low),Inspection_Type_Canvass,Facility_Type_Clean_Other,Facility_Type_Clean_Restaurant,APPLICATION_TYPE_C_EXPA,APPLICATION_TYPE_C_LOC,APPLICATION_TYPE_ISSUE,APPLICATION_TYPE_RENEW
0,0,2,0,0,0,0,2.0,1,19.0,10.964383561643835,0,1,0,0,0,1,0,0,0,0,0,0,0.0145866666666666,53.49666666666666,13.339999999999998,0.9,26.992375861633032,12.768572449358048,37.748787167932505,0,False,False,True,True,True,False,False,False,False,True
0,0,3,0,0,0,0,2.0,1,24.0,7.457534246575342,0,0,0,0,0,0,0,0,0,0,0,0,0.0019066666666666,59.04666666666666,13.016666666666666,0.5499999999999999,13.976556531634234,12.895485011642904,15.412267322070075,0,True,False,False,True,False,True,False,False,False,True
0,2,6,0,0,0,0,2.0,1,17.0,4.578082191780822,0,0,0,0,0,0,0,0,0,0,0,0,0.0019066666666666,59.04666666666666,13.016666666666666,0.5499999999999999,12.611239475253589,8.004219947993086,8.320329738168754,0,True,False,False,True,False,True,False,False,False,True
0,0,6,0,0,0,0,2.0,1,17.0,7.805479452054794,0,0,0,0,0,0,0,0,0,0,0,0,0.0027366666666666,56.153333333333336,10.863333333333337,0.6166666666666667,35.906382996944764,26.23864454195639,38.18661845787836,0,True,False,False,True,False,True,False,False,False,True
0,2,6,0,0,0,0,2.0,1,24.0,5.2904109589041095,0,0,1,0,0,1,0,0,0,0,0,0,0.0099866666666666,52.73,16.266666666666666,0.6900000000000001,9.53078543793244,3.4015669077145034,2.126787504674216,0,False,True,False,True,False,True,False,False,False,True
0,1,4,0,0,0,0,2.0,1,9.0,4.49041095890411,0,0,0,0,0,0,0,0,0,0,0,0,0.0001833333333333333,79.21666666666668,6.476666666666667,0.6966666666666667,35.11199288105402,32.21951913071832,12.350779294794089,0,False,True,False,True,True,False,False,False,False,True
0,0,3,0,0,0,0,2.0,1,9.0,0.9945205479452056,0,0,0,0,0,0,0,0,0,0,0,0,0.0001833333333333333,79.21666666666668,6.476666666666667,0.6966666666666667,7.078183051512449,34.74847695041561,14.61509963732215,0,True,False,False,True,False,True,False,False,True,False
0,0,2,0,0,0,0,2.0,1,8.0,9.334246575342464,0,0,0,0,0,0,0,1,0,0,0,0,0.0001833333333333333,79.21666666666668,6.476666666666667,0.6966666666666667,12.579649352471677,15.110385023609176,11.509750726239778,0,False,True,False,True,False,True,False,False,False,True
0,0,3,0,0,0,0,2.0,1,9.0,7.098630136986301,0,0,0,0,0,0,0,0,0,0,0,0,0.00047333333333333336,73.49666666666667,10.196666666666664,0.64,12.535886431233427,37.96641856081946,19.938422404915094,0,True,False,False,True,True,False,False,False,False,True
0,0,3,0,0,0,0,2.0,1,9.0,1.7643835616438357,0,0,0,0,0,0,0,0,0,0,0,0,0.00047333333333333336,73.49666666666667,10.196666666666664,0.64,13.627468306616006,41.05990216154411,25.03046281384928,0,False,True,False,True,False,True,False,False,False,True
0,0,3,0,0,0,0,2.0,1,9.0,2.4821917808219176,0,0,0,0,0,0,0,0,0,0,0,0,0.00047333333333333336,73.49666666666667,10.196666666666664,0.64,8.788509269757038,51.27887730843549,17.733490967092603,0,False,True,False,True,True,False,False,False,False,True
0,0,2,0,0,0,0,2.0,1,9.0,9.106849315068493,0,0,0,0,0,0,0,0,0,0,0,0,0.0041333333333333,70.07333333333334,8.743333333333334,0.73,3.656825014752453,24.689533573626253,16.604556088611638,0,True,False,False,True,False,True,False,False,False,True
2,1,6,0,0,0,0,2.0,1,9.0,10.10958904109589,0,0,0,0,0,0,0,0,0,0,0,0,9e-05,68.50333333333333,8.796666666666667,0.6733333333333333,6.463858208276449,28.279136974680625,13.57691765598051,1,False,True,False,True,False,True,False,False,False,True
0,0,1,0,0,0,0,2.0,1,9.0,10.12054794520548,0,0,0,0,0,0,0,0,0,0,0,0,0.0111466666666666,61.833333333333336,9.633333333333333,0.8033333333333333,7.976849427826718,33.138719676325834,16.45224064077265,0,False,True,False,True,True,False,False,False,False,True
0,0,1,0,0,0,0,2.0,1,9.0,9.12054794520548,0,1,0,0,0,0,0,0,0,0,0,0,0.0111466666666666,61.833333333333336,9.633333333333333,0.8033333333333333,19.36637217929607,26.905390412467643,8.813282363274546,0,False,True,False,True,True,False,False,False,False,True
0,0,2,0,0,0,0,2.0,1,9.0,8.838356164383562,0,0,0,0,0,0,0,0,0,0,0,0,0.0111466666666666,61.833333333333336,9.633333333333333,0.8033333333333333,21.64868696156273,30.409737600760565,12.991147123246352,0,False,True,False,True,False,True,False,False,False,True
0,0,2,0,0,0,0,2.0,1,81.0,9.12054794520548,0,0,0,0,0,0,0,0,0,0,0,0,0.0111466666666666,61.833333333333336,9.633333333333333,0.8033333333333333,18.67772520648368,32.551057310650286,13.769319982389211,0,True,False,False,True,False,True,False,False,False,True
0,0,3,0,0,0,0,2.0,1,8.0,8.306849315068494,0,0,0,0,0,0,0,0,0,0,0,0,0.0127633333333333,61.586666666666666,11.013333333333334,0.8433333333333333,6.835158363773958,30.19328399246633,21.00923712868301,0,False,True,False,True,False,True,False,False,False,True
0,0,5,0,0,0,0,2.0,1,9.0,9.123287671232877,0,0,0,0,0,0,0,0,0,0,0,0,0.0127633333333333,61.586666666666666,11.013333333333334,0.8433333333333333,3.0675200579315733,3.6282236542048336,4.003438204527847,0,True,False,False,True,False,True,False,False,False,True
0,1,4,0,0,0,0,2.0,1,9.0,9.126027397260271,0,0,0,0,0,0,0,0,0,0,0,0,0.0164966666666666,60.71666666666667,11.043333333333331,0.86,5.763901326900364,40.36285909244465,7.529975270221705,0,True,False,False,True,True,False,False,False,False,True
0,1,4,0,0,0,0,2.0,1,8.0,9.136986301369864,0,1,0,0,0,0,0,0,0,1,0,0,0.00207,56.89666666666667,14.523333333333332,0.6766666666666667,3.1553277388371037,10.59866892104973,5.607563635211507,0,False,False,True,True,True,False,False,False,False,True
0,0,6,0,0,0,0,2.0,1,8.0,9.635616438356164,0,0,0,0,0,0,0,0,0,0,0,0,0.00036333333333333335,59.866666666666674,9.746666666666668,0.6666666666666666,2.909548655159126,13.697695313126466,9.200158338836562,0,True,False,False,True,False,True,False,False,False,True
0,1,6,0,0,0,0,2.0,1,8.0,5.347945205479452,0,0,0,0,0,0,0,0,0,0,0,0,0.00036333333333333335,59.866666666666674,9.746666666666668,0.6666666666666666,17.748142755500414,18.976301370331186,0.1455402488999354,0,True,False,False,True,False,True,False,False,False,True
0,0,2,0,0,0,0,2.0,1,8.0,7.076712328767123,1,0,0,0,0,0,0,0,0,0,0,0,0.0,69.17666666666666,4.5,0.6466666666666666,1.7751587643336222,0.8272693288279803,1.2254988273038012,0,False,True,False,True,False,True,False,False,False,True
0,0,1,0,0,0,0,2.0,1,8.0,8.205479452054794,1,0,0,0,0,0,0,0,0,0,0,0,0.0,69.17666666666666,4.5,0.6466666666666666,1.7751587643336222,0.8272693288279803,1.2254988273038012,0,False,True,False,True,False,True,False,False,False,True
0,0,2,0,0,0,0,2.0,1,8.0,8.216438356164383,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.17666666666666,4.5,0.6466666666666666,1.7751587643336222,0.8272693288279803,1.2254988273038012,0,False,True,False,True,False,True,False,False,False,True
0,0,3,0,0,0,0,2.0,1,8.0,8.216438356164383,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.17666666666666,4.5,0.6466666666666666,1.7751587643336222,0.8272693288279803,1.2254988273038012,0,False,True,False,True,False,True,False,False,False,True
0,0,3,0,0,0,0,2.0,1,8.0,3.2794520547945205,1,0,0,0,0,0,0,0,0,0,0,0,0.0,73.16666666666667,4.726666666666667,0.6233333333333333,12.581468562082287,5.356200011738364,1.6351993742413298,0,True,False,False,True,False,True,False,False,False,True
0,0,3,0,0,0,0,2.0,1,8.0,5.668493150684932,0,1,1,0,0,0,0,0,0,0,0,0,0.0,73.16666666666667,4.726666666666667,0.6233333333333333,1.5603573066622616,10.060852427492597,10.529034967017187,0,False,True,False,True,True,False,False,False,False,True
0,0,2,0,0,0,0,2.0,1,8.0,1.7095890410958905,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.16666666666667,4.726666666666667,0.6233333333333333,1.311517229147126,5.364553584072845,7.311497745283363,0,False,True,False,True,False,True,False,False,True,False
0,0,3,0,0,0,0,2.0,1,9.0,1.6164383561643836,0,0,0,0,0,0,0,0,0,0,0,0,0.0033666666666666,69.67,7.16,0.6666666666666666,33.03635666185232,47.05181508656396,22.12193713065835,0,True,False,False,True,False,True,False,False,False,True
0,1,3,0,0,0,0,2.0,1,8.0,4.265753424657534,0,1,1,0,0,0,0,0,0,0,0,0,0.0033666666666666,69.67,7.16,0.6666666666666666,12.17414826405432,8.89598732556056,5.554171224977071,0,False,True,False,True,True,False,False,False,False,True
0,0,2,0,0,0,0,2.0,1,8.0,9.427397260273972,0,1,0,0,0,0,0,1,0,0,0,0,0.0019066666666666,59.96666666666667,14.12,0.5733333333333333,4.587926660827248,8.030156015803836,9.881847441672653,0,False,True,False,True,False,True,False,False,False,True
0,1,3,0,0,0,0,2.0,1,8.0,4.808219178082192,0,1,1,0,0,0,0,0,0,0,0,0,0.0019066666666666,59.96666666666667,14.12,0.5733333333333333,6.938108331153592,6.961910168153328,6.08725195328132,0,False,True,False,True,True,False,False,False,False,True
0,0,4,0,0,0,0,2.0,1,8.0,4.405479452054794,0,0,0,0,0,0,0,0,0,0,0,0,0.0019066666666666,59.96666666666667,14.12,0.5733333333333333,5.8083714605125145,4.64379122359179,6.932212799547738,0,True,False,False,True,False,True,False,False,False,True
1,0,4,0,0,0,0,2.0,1,9.0,4.197260273972603,0,0,0,0,0,0,0,0,0,0,0,0,0.0099866666666666,52.73,16.266666666666666,0.6900000000000001,10.004506346614582,18.267593129951194,10.011294934882311,1,False,True,False,True,True,False,False,False,False,True
0,2,5,0,0,0,0,2.0,1,9.0,1.8657534246575345,0,0,0,0,0,0,0,0,0,0,0,0,0.0099866666666666,52.73,16.266666666666666,0.6900000000000001,19.73093395380868,37.30639277088953,18.885728211674703,0,True,False,False,True,True,False,False,False,False,True
